code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL000008,AL,30.634982900000004,PINUS HALEPENSIS,1310.01,1285,1348,2medium,2539.77,37.11226,-2.76905,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,2,3,phale,P. halpensis
AL000009,AL,38.6469151,PINUS SYLVESTRIS,2076.08,2021,2129,3high,2679.85,37.11172,-3.02545,NA,0,0,0,0,0,1,0,0,0,NA,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,psylv,P. sylvestris
AL000010,AL,36.775259999999996,PINUS NIGRA SSP AUSTR.,1279.18,1185,1360,2medium,2714.87,37.10625,-2.82876,0,1,0,0,2,3,0,0,0,3,0,2,0,0,0,0,1,1,3,0,0,2,2,2,2,2,4,pnig_aus,P. nigra
AL000011,AL,103.9913438,PINUS SYLVESTRIS,1338.78,1179,1437,2medium,4839.76,37.02291,-2.90114,3,0,0,0,3,3,2,0,3,0,2,2,2,1,0,1,1,2,1,1,0,1,2,2,1,3,4,psylv,P. sylvestris
AL000012,AL,19.2971189,PINUS HALEPENSIS,979.78,908,1118,1low,1921.13,37.00452,-2.88929,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,phale,P. halpensis
AL000013,AL,18.0706082,PINUS HALEPENSIS,641.9,572,688,1low,1690.13,36.99346,-2.70886,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,phale,P. halpensis
AL000014,AL,22.064888200000002,PINUS HALEPENSIS,737.44,675,810,1low,2071.45,36.88488,-2.92346,NA,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,phale,P. halpensis
AL000015,AL,48.2646647,PINUS SYLVESTRIS,1866.74,1805,1925,3high,2558.12,37.07623,-2.78088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,2,1,0,1,0,1,1,1,2,psylv,P. sylvestris
AL000016,AL,26.0976475,NA,1647.81,1506,1743,2medium,2291.74,37.11959,-2.89843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,1,0,1,1,1,1,0,1,1,1,0,NA,NA
AL000017,AL,1.7360312999999998,PINUS HALEPENSIS,829.99,819,842,1low,518.71,37.14659,-2.76876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,2,2,1,0,phale,P. halpensis
